,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,50.0,50.0,823.0,983.0,593.0,265.0,619.0,414.0,221.0
1,0.0,0.0,0.0,0.0,50.0,50.0,823.0,983.0,594.0,265.0,619.0,414.0,221.0
2,0.0,0.0,0.0,0.0,50.0,50.0,823.0,983.0,593.0,265.0,619.0,414.0,221.0
3,0.0,0.0,0.0,0.0,50.0,50.0,823.0,983.0,594.0,265.0,619.0,414.0,221.0
4,0.0,0.0,0.0,0.0,0.0,0.0,302.0,473.0,70.0,770.0,94.0,903.0,703.0
5,0.0,0.0,0.0,0.0,0.0,0.0,302.0,474.0,70.0,770.0,94.0,903.0,703.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
